Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Udaan,8.1,2010,Vikramaditya Motwane,Drama,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Drama
Gangs of Wasseypur,8.2,2012,Anurag Kashyap,Action,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action, Comedy, Crime"
Like Stars on Earth,8.3,2007,Aamir Khan,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama, Family"
Dev.D,7.9,2009,Anurag Kashyap,Comedy,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin... Read all","Comedy, Drama, Romance"
Swades,8.2,2004,Ashutosh Gowariker,Drama,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Drama, Musical"
3 Idiots,8.4,2009,Rajkumar Hirani,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all","Comedy, Drama"
OMG: Oh My God!,8.1,2012,Umesh Shukla,Comedy,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"Comedy, Drama, Fantasy"
Rang De Basanti,8.1,2006,Rakeysh Omprakash Mehra,Comedy,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f... Read all","Comedy, Crime, Drama"
Omkara,8.0,2006,Vishal Bhardwaj,Action,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,"Action, Crime, Drama"
Pink,8.1,2016,Aniruddha Roy Chowdhury,Crime,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","Crime, Drama, Thriller"
Talvar,8.1,2015,Meghna Gulzar,Crime,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,"Crime, Drama, Mystery"
Chak De! India,8.1,2007,Shimit Amin,Drama,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.","Drama, Family, Sport"
Black,8.1,2005,Sanjay Leela Bhansali,Drama,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",Drama
Andaz Apna Apna,8.0,1994,Rajkumar Santoshi,Action,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,"Action, Comedy, Romance"
Laal Rang,7.8,2016,Syed Ahmad Afzal,Comedy,The friendship of two men is tested when things go wrong in their blood theft business.,"Comedy, Crime, Drama"
Drishyam,8.2,2015,Nishikant Kamat,Crime,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime, Drama, Mystery"
Dangal,8.3,2016,Nitesh Tiwari,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama"
Black Friday,8.4,2004,Anurag Kashyap,Action,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.","Action, Crime, Drama"
Thirst,8.3,1957,Guru Dutt,Drama,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.","Drama, Musical, Romance"
Jaane Bhi Do Yaaro,8.3,1983,Kundan Shah,Comedy,"Two photographers, who are employed by a magazine editor to expose the scandalous activities of the rich, come across corruption by a builder and accidentally photograph a murder.","Comedy, Crime, Drama"
A Wednesday,8.1,2008,Neeraj Pandey,Action,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wedne... Read all,"Action, Crime, Drama"
Dil Chahta Hai,8.1,2001,Farhan Akhtar,Comedy,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension... Read all","Comedy, Drama, Romance"
PK,8.1,2014,Rajkumar Hirani,Comedy,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views... Read all,"Comedy, Drama, Sci-Fi"
Mother India,7.8,1957,Mehboob Khan,Action,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code.","Action, Comedy, Drama"
Anand,8.1,1971,Hrishikesh Mukherjee,Drama,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.","Drama, Musical"
Gol Maal,8.5,1979,Hrishikesh Mukherjee,Comedy,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,"Comedy, Romance"
Chupke Chupke,8.3,1975,Hrishikesh Mukherjee,Comedy,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,"Comedy, Drama, Romance"
